External ID,Name,Location,Area of interest,Account Information,Documentation and Requirements,Grant Amount,Due Date,EIN,Application Status,Outreach,Research_Links__c,Internal_Notes__c,Relationship,Contact 1 NameRaw,Contact 2 NameRaw,Contact 3 NameRaw,Title1 NameRaw,Title2 NameRaw,Title3 NameRaw,Email1 NameRaw,Email2 NameRaw,Email3 NameRaw,Source_Sheet__c
theclevelandhdodgefoundation,The Cleveland H. Dodge Foundation,New York City,"Underserved communities, New York City, capacity building, K-12 education, teacher professional development, digital learning, after-school programs, early childhood",Registration form,501(c)(3) status; Strictly localized to the New York City metropolitan area.,"$10,000",Rolling,13-6015087,,,https://www.chdodgefoundation.org/for-grant-seekers/apply,,,Emily Mommsen,,,Emily Mommsen,,,connect@chdodgefoundation.org, emommsen@chdodgefoundation.org,,Foundation Potential (Rolling)
moodyfoundation,Moody Foundation,New York City,"Education, mathematics, economics, finance","Complete eligibility quiz first. If granted access, Moody's will contact you with an invitation code to submit LOI.","LOI (If successful, you will receive invitation for full proposal)","Up to $300,000",Rolling,13-3998945,,,https://moodyf.givingdata.com/portal/campaign/LOI,,,,,,1. Tameka Alsop, 2. Christine Elliott,,Tameka.Alsop@moodys.com,,,Foundation Potential (Rolling)
mckeenfund,Mckeen Fund,New York City,"Vulnerable children, disadvantaged families, seniors, healthcare, education academic enrichment, Roman Catholic organizations.",Application Guidelines,501(c)(3) status; Legacy alignment with Roman Catholic institutions.,"$1,000 - $25,000",Rolling,13-7002920,,,http://www.mckeenfund.org/application.html,,,James J. Daly,,,James J. Daly, Beth A. Daly,,Info@mckeenFund.org,,,Foundation Potential (Rolling)
theteaglefoundation,The Teagle Foundation,New York City,"Undergraduate liberal arts, civic education, public service, democratic participation.",Teagle Portal,Accredited higher education institutions; concept letter submitted online.,"$100,000 - $400,000",Rolling,20-1370387,,,https://us.grantrequest.com/Login.aspx?ReturnUrl=%2faccountmanager.aspx%3fSA%3dAM%26sid%3d2196&SA=AM&sid=2196,,,Gwen Robbins,,,Gwen Robbins, Ann-Marie Buckley,,ttweel@teagle.org,,,Foundation Potential (Rolling)
globalfundforwomen,Global Fund for Women,Global,"Gender justice, women-led organizations, gender-based violence, reproductive rights, economic security, political empowerment, LGBTQ+ inclusion",Grant Database ,"Grassroots, women-led or gender-expansive organizations.",$2-20k,,77-0155782,,,https://globalfundforwomen-fs.my.salesforce-sites.com/GrantsSearch,,,Pardeepa Jeeva,,,Pardeepa Jeeva,,,pjeeva@globalfundforwomen.org, grantsinfo@globalfundforwomen.org,,Foundation Potential (Rolling)
halfmydaf,#HalfMyDaf,United States,"Donor-Advised Funds activation, matching grants, active nonprofits, reading initiatives, community safety nets",Nonprofit Partnership ,Registered 501(c)(3) public charities; must receive an active nomination from a verified DAF holder.,$2.1M matching pool overall,N/A ,82-1517696,,,https://www.halfmydaf.com/instructions,,,Jennifer Risher,,,Jennifer Risher,,,grants@amalgamatedfoundation.org,,,Foundation Potential (Rolling)
bergerfamilyfoundation,Berger Family Foundation,United States,"Self-sufficiency, basic educational access, youth development, family wellness, faith-based initiatives, Israel advocacy.",Moving to new Platform,501(c)(3) status; Strong regional focus on designated geographic giving markets.,"$10,000 - $100,000",Rolling,47-2357665,,,https://www.bergerfamilyfoundation.org/,,,Amy Krulik,,,Amy Krulik,,,Akrulik@hopeanddoor.org,,,Foundation Potential (Rolling)
websterbankcharitablefoundation,Webster Bank Charitable Foundation,"Connecticut, Massachusetts, Rhode Island, and New York ","Workforce development, community and affordable housing development, financial empowerment and literacy, and basic needs/human services.",Webster Portal,501(c)(3) nonprofit status required; Programs must serve low- to moderate-income communities.,"3,000 up to ~$444,000",Rolling,32-0103899,,,https://us.grantrequest.com/Login.aspx?ReturnUrl=%2fapplication.aspx%3fsid%3d2217%26fid%3d35070&sid=2217&fid=35070,,,Nanette Jimenez,,,Nanette Jimenez,,,najimenez@websterbank.com,,,Foundation Potential (Rolling)
robertsterlingclarkfoundation,Robert Sterling Clark Foundation,New York City,"Systems leaders, urban poverty, leadership development, racial equity, gender equity, economic equity.",Application Form,501(c)(3) or fiscally sponsored community coalitions focused on New York City.,"$40,000-$85,000",Rolling,13-1957792,,,https://www.rsclark.org/grants#apply,,,,,,,,,,,,Foundation Potential (Rolling)
thebobreneeparsonsfoundation,The Bob & Renee Parsons Foundation,United States,"Marginalized communities, youth mentorship, foster care support, medical clinics, uninsured populations, homelessness intervention, veterans.",Application Page,"501(c)(3) status; Heavy localized concentration within the Phoenix, Arizona metropolitan area.","Wide range: ~$10k to $5,000,000+",Rolling ,45-2713666,,,https://tbrpf.org/grants/,,,,,,,,,,,,Foundation Potential (Rolling)
williamflorahewlettfoundation,William & Flora Hewlett Foundation,"Menlo Park, CA (national/global programs)",Education; Environment/Climate; Global Development; Performing Arts; Effective Philanthropy.,Invite Only,Varies by program/RFP; typically invitation only.,Varies widely; many multi-year awards.,Program-specific or RFP-specific; otherwise by invitation only.,94-1655673,,,https://hewlett.org/grantmaking-faq/,,,,,,,,,granteecenter@hewlett.org,,,Foundation Potential (Rolling)
newyorkwomensfoundation,New York Women's Foundation,New York City (five boroughs only),"Girls & women of color, mental health, reproductive justice, education, economic security",NYWF,Must be a registered 501(c)3 nonprofit or have a 501(c)3 fiscal sponsor; Serve the five boroughs of New York City.,"$10,000 - $100,000 (average $50,000)",Applications open at different points in the year,13-3457287,,,https://hewlett.org/grantmaking-faq/,,,,,,,,,hello@nywf.org,,,Foundation Potential (Rolling)
newyorkcommunitytrust,New York Community Trust,New York City,"The Trust funds nonprofits addressing critical community needs, including youth development, education, mental health, housing, and community well-being.",NY Community Trust Application,"Cover letter, narrative proposal (max 5 pages), project budget.","Varies (often $10,000-$200,000+)",Rolling ,13-3062214,ensure we apply by end of january.,,https://grantseeker.thenytrust.org/Proposal/Create/?loiRespKey=0&rfpId=113,,,Leigh C. Ross,,,Leigh C. Ross,,,lcr@nyct-cfi.org,,,Foundation Potential (Rolling)
altmanfoundation,Altman Foundation,"
New York City exclusively","Mental health, health services, workforce development",Altman Grant Portal,501(c)(3) nonprofit; Strictly New York City.,"$50,000 - $450,000",Open year-round,13-1623879,,,https://altman.fluxx.io/user_sessions/new,,,,,,,,,info@altman.org,,,Foundation Potential (Rolling)
thepinkertonfoundation,The Pinkerton Foundation,New York City only,"Workforce development, career readiness, young adults",Pinkerton Application,Register through the Grant Portal; Letter of Inquiry required.,"$25,000 - $850,000",Open year-round (2-6 month wait depending on board meeting cycle),13-6058045,,,https://pinkerton.fluxx.io/user_sessions/new,,,Yvonne Schonborg,,,Yvonne Schonborg,,,yschonborg@pinkertonfdn.org,,,Foundation Potential (Rolling)
charleshaydenfoundation,Charles Hayden Foundation,"Boston, New York City, and New Jersey (Newark)","Youth development, education, mentoring, workforce readiness",Charles Hayden Portal,Concise description of proposed program; organizational budget; IRS letter.,"$16,700,000 (based on 2022 tax data)",Open year-round,13-5562237,,,https://bbgm-apply.yourcausegrants.com/apply/programs/629d526e-1f4a-4787-aa0e-741cc5c9ff59,,,,,,,,,Info@charleshaydenfoundation.org,,,Foundation Potential (Rolling)
mertzgilmorefoundation,Mertz Gilmore Foundation,"NYC focused, but works with organizations across the U.S","Reproductive justice, health equity, education",Will be Posted Soon,Fill out short questionnaire; financial reports if not for general operating support.,"$1,000 - $500,000",Year-round *2026 portal not posted yet*,13-2872722,,,,,,,,,,,,info@mertzgilmore.org,,,Foundation Potential (Rolling)
,Bronx Community Foundation,"Focused on Bronx, NY","Youth development, education, health equity",No Grants Available,Must be based in or serve the Bronx; 501(c)(3) nonprofit status.,"Average - $10,000",No due date listed,81-4237999,,,,,,,,,,,,,,,Foundation Potential (Rolling)
,The Eisner Foundation,Los Angeles County and New York City ,"Youth development, education",Eisner Foundation Portal,Must be 501(c)(3) tax-exempt nonprofits based in or serving populations in Los Angeles County or New York City.,"$100,000 - $300,000",Open year-round,95-4607191,,,,,,,,,,,,,,,Foundation Potential (Rolling)
,The Stavros Niarchos Foundation (NYC),funds nonprofit organizations globally in multiple sectors.,"Education, youth, health",Stavros Grant Portal,"Must be a nonprofit organization aligned with arts and culture, education, health and sports, or social welfare.","$200,000 - $500,000",No due date posted,13-3829026,,,,,,,,,,,,,,,Foundation Potential (Rolling)
,Kresge Foundation (NYC office),"National, with focus cities of Detroit, Memphis, New Orleans, and Fresno","Health equity, education, workforce development","Kresge Portal, No opportunities posted at the moment",501(c)(3) nonprofit status; Must fit within one of Kresge's programmatic focus areas.,"$5,000 - $5,000,000+ (most grants $100,000 - $350,000)",Open year-round,38-1359217,,,,,,,,,,Contact form,,,,,Foundation Potential (Rolling)
,Citizens Philanthropic Foundation,New Jersey and the Greater New York City area.,"Workforce development, economic opportunity, financial empowerment, job training, and community-based initiatives.",Citizen Application ,Must be an IRS-qualified 501(c)(3) nonprofit organization.,"up to $500,000",Open year-round,56-2582815,,,,,,,,,,,,,,,Foundation Potential (Rolling)
,Henry E. Niles Foundation,Northeastern United States,"Education (incl. special education/literacy), economic self-sufficiency, and health & independence.",Niles Application,Henry Niles Guidelines,"$2,500 - $50,000",Open Year-Round  ,06-1252486,,,,,,,,,Ashley Garan,,,agaran@smithgrant.com,,,Foundation Potential (Rolling)
hydeandwatsonfoundation,Hyde and Watson Foundation,NYC,"Human Services & Society Benefit, Education, K-12 & Early Childhood, Health, Arts, Culture & Humanities, Environment & Animals
",Hyde and Watson Portal,Hyde and Watson Application Guidelines,"$5,000 - $20,000.

","Open Year-Round 
Spring: portal open Dec 15 - Feb 1

Fall: portal open Jun 15 - Aug 1)",22-2425725,,,,,,,,,,,,,,,Foundation Potential (Rolling)
,Stand Together Foundation,United States,"Poverty reduction and economic mobility, community and human services, criminal justice reform, education, health and mental health, racial equity.",Stand Together Apply Page,Must be a qualified nonprofit organization (typically 501(c)(3)) or equivalent institution.,"up to $200,000",No due date posted,27-3197768,,,,,,,,,,,,,,,Foundation Potential (Rolling)
