External ID,Name,Location,Area of interest,Account Information,Documentation and Requirements,Grant Amount,Due Date,EIN,Application Status,Outreach,Research_Links__c,Internal_Notes__c,Relationship,Contact 1 NameRaw,Contact 2 NameRaw,Contact 3 NameRaw,Title1 NameRaw,Title2 NameRaw,Title3 NameRaw,Email1 NameRaw,Email2 NameRaw,Email3 NameRaw,Source_Sheet__c
northstarfund,North Star Fund,"Our grants support organizations and programs within the ﬁve boroughs of New York City and the Hudson Valley that elevate community-led solutions to problems caused by racism, gender oppression and greed.
","New York City Community Funding Committee: Anisah Sabur, Darnell Benoit, Kesi Foster, Krystal Portalatin, Lah Obias, Prarthana Gurung, Rebecca Bailin. ",https://northstarfund.org/apply/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1B0BcDAqfAMVwBaJe29TPAJVDgUnAvIVo2EX0aHLEh5UayOKLsGpdRoCQt0QAvD_BwE,,,,No — must apply first.,,Contact located; not yet applied. ,https://northstarfund.org/apply/?gclid=CjwKCAiAq4KuBhA6EiwArMAw1B0BcDAqfAMVwBaJe29TPAJVDgUnAvIVo2EX0aHLEh5UayOKLsGpdRoCQt0QAvD_BwE,Contact located; not yet applied. ,,Jennifer Ching,,,Jennifer Ching,,,jenniferching@northstarfund.org,,,Foundation Not Applicable
mortonkjaneblausteinfoundation,Morton K & Jane Blaustein Foundation,"The Foundation's geographic focus is primarily in Baltimore City, the Maryland and DC regions, and New York.

","- To expose and challenge institutionalized racism and to ensure equal and fair treatment for all, the Foundation supports:
- Strategic advocacy and policy reform efforts to end racial inequities in the justice system
- Programs focused on changing the culture of punishment and criminalization of youth in schools, practices which disproportionately affect students of color",,https://blaufund.org/morton-k-and-jane-blaustein-foundation/,LOI accepted on Rolling Basis                  Have Contact form on website so they can advise about potential submission,,,,"Currently, the funding that we do through the Morton K. and Jane Blaustein Foundation in NYC is focused on organizing, advocacy and legal services for immigrants, refugees and asylum seekers and support networks for refugees and asylum seekers fleeing violence.  I suggest you contact Tanya Herbick, the Senior Program Officer for the Foundation if you think your program fits one of those categories.   Her email address is therbick@blaufund.org . Best regards, Betsy",https://blaufund.org/morton-k-and-jane-blaustein-foundation/,"Currently, the funding that we do through the Morton K. and Jane Blaustein Foundation in NYC is focused on organizing, advocacy and legal services for immigrants, refugees and asylum seekers and support networks for refugees and asylum seekers fleeing violence.  I suggest you contact Tanya Herbick, the Senior Program Officer for the Foundation if you think your program fits one of those categories.   Her email address is therbick@blaufund.org . Best regards, Betsy",,"Betsy F. Ringel
Tanya C. Herbick
Melanie S. Pinkert",,,"Betsy F. Ringel
Tanya C. Herbick
Melanie S. Pinkert",,,,,,Foundation Not Applicable
lilahhilliardfisherfoundation,Lilah Hilliard Fisher Foundation,New York ,Focuses on regenerative agriculture and nutrition education efforts nationwide - DOES NOT APPLY ,https://hillmanfamilyfoundations.org/,Ongoing,,,,,,https://hillmanfamilyfoundations.org/,,,Hilary Brown,,,Hilary Brown,,,habrown@hillmanfo.com, foundation@hillmanfo.com,,Foundation Not Applicable
wallaceglobalfund,Wallace Global Fund,Washington ,"Grant applications should focus on one or more of our four core program areas: democracy, environment, corporate accountability, and women’s rights.",Website Link ,INVITE ONLY ,,,,,"Unfortunately, Robby and our team is unable to meet as Wallace Global Fund is in its final years of operation and unable to take on new grantee partners at this time.",http://wgf.org/grants/,"Unfortunately, Robby and our team is unable to meet as Wallace Global Fund is in its final years of operation and unable to take on new grantee partners at this time.",,Susan Gibbs,,,Susan Gibbs, Robby Rodriguez,,sgibbs@wgf.org, rrodriguez@wgf.org,,Foundation Not Applicable
bernardandaudrerapoportfoundation,Bernard and Audre Rapoport Foundation ,,"The Foundation is interested in the broad area of education but with a special concern for early learning up to and through the elementary years. Other areas of interest include adult education and training initiatives, college and career readiness, and programs that enhance the capabilities of teachers and other professionals in public schools.",Grant Guidelines here                                                   Link to grant questions here,,,,2024 Fall Grant Cycle TBA!! - Filled out contact form inquiring about grant opportunities ,,"Unfortunately, it does not appear that your organization is a fit for our discretionary/national funding priorities.  The Foundation does not fund direct social service programs/projects outside of Waco/McLennan County, Texas.",,"Unfortunately, it does not appear that your organization is a fit for our discretionary/national funding priorities.  The Foundation does not fund direct social service programs/projects outside of Waco/McLennan County, Texas.",,Jenny Howe Peel,,,Jenny Howe Peel,,,enny@rapoportfdn.org,,,Foundation Not Applicable
theketteringfamilyfoundation,The Kettering Family Foundation ,New Jersey,"The Kettering Family Foundation (KFF) will consider activities in the following categories: Primary Areas of Support:
Arts, Culture and Humanities
Education
Environment
Health/Medical
Human Services
Public/Society Benefit","Request Summaries for the Kettering Family Philanthropies' next grant cycle will be accepted from January 1, 2023 through January 31, 2023.",https://www.cfketteringfamilies.com/philanthropy/kff#grant-history,,,,," in an effort to be transparent, they don't believe they would consider our application as they typically only grant to nonprofits that they are familiar with.",https://www.cfketteringfamilies.com/philanthropy/kff#grant-history," in an effort to be transparent, they don't believe they would consider our application as they typically only grant to nonprofits that they are familiar with.",,,,,,,,info@ketteringfamilyphilanthropies.org,,,Foundation Not Applicable
altmanfoundation,Altman Foundation ,New York ,"- To provide disadvantaged children and youth with more high-quality learning time through early childhood education and afterschool, summer, and expanded learning programs.",https://www.altmanfoundation.org/grant-seekers - No account needed ,LOI ,,Rolling ,,,,https://www.cfketteringfamilies.com/philanthropy/kff#grant-history,,,Dori Sama,,,Dori Sama, Jane O'Connell,,,,,Foundation Not Applicable
lilahhillardfisherfoundation,Lilah Hillard FIsher Foundation,Pennsylvania ,"-Focused on regenerative agriculture, nutrition education, help for survivors of human trafficking, and theater arts.                                                       - It has also historically championed youth development, social justice, and safety nets for our most vulnerable populations.",Rolling ,https://main.djtvcls54wbjh.amplifyapp.com/,,,"First outreach 11/8
",,"Sadly, none of our NYC based foundations are a good fit at this time. We appreciate the work that you do and wish you the best of luck.",https://main.djtvcls54wbjh.amplifyapp.com/,"Sadly, none of our NYC based foundations are a good fit at this time. We appreciate the work that you do and wish you the best of luck.",,Hilary Brown,,,Hilary Brown,,,habrown@hillmanfo.com,,,Foundation Not Applicable
mgmresortsfoundationcommunitygrantfund,MGM Resorts Foundation Community Grant Fund,Nevada ,- Each CGC meets and evaluates grant proposals from nonprofit agencies in its respective region to determine how the community grant funds will be allocated.,"Mar 3, 2024 5:00pm PST",https://www.mgmresorts.com/en/company/foundation/community-grant-application.html,,,Applications for 2023 now closed. ,,,https://www.mgmresorts.com/en/company/foundation/community-grant-application.html,,,"Taryn Duffy
Paul Salem",,,"Taryn Duffy
Paul Salem",,,foundation@mgmresorts.com,,,Foundation Not Applicable
mbednazalefoundationgrant,M.B. & Edna Zale Foundation Grant,Texas,- To support individuals and families as they build productive and meaningful lives.,"Full proposal: Invite Only                             Multiple App Cycles: Next LOI December 29, 2023  ",https://zalefoundation.org/guidelines/how-to-apply/,,,First outreach 10/18,,"New requirement added: We have moved to a model where the engagement of Foundation family members in the work or cause of an organization is an overarching requirement for funding. That said, our family members must be involved with your organization.",https://zalefoundation.org/guidelines/how-to-apply/,"New requirement added: We have moved to a model where the engagement of Foundation family members in the work or cause of an organization is an overarching requirement for funding. That said, our family members must be involved with your organization.",,Emily A. Hargrove,,,Emily A. Hargrove, Barbara A. Churchman,,mail@zalefoundation.org, bchurchman@zalefoundation.org,,Foundation Not Applicable
theislandfoundation,The Island Foundation,Massachusetts ,"- The Island Foundation’s grant priorities fall within four major categories: Environment, New Bedford, Alternative Education, and Global. ",,http://islandfdn.org/index.php/priorities,,,First outreach 11/8,,,http://islandfdn.org/index.php/priorities,,,Rayana Grace,,,Rayana Grace,,,rgrace@islandfdn.org,,,Foundation Not Applicable
theschermanfoundation,The Scherman Foundation,New York,"- The Scherman Foundation supports the arts and organizations that use community organizing and advocacy to build a more just, sustainable, and equitable New York, as well as those that strengthen democracy and advance environmental and reproductive justice nationwide. ",LOI accepted on rolling basis. https://www.scherman.org/how-to-apply,https://www.scherman.org/reproductive-justice,,,First outreach 11/8,,,"https://www.scherman.org/how-to-apply
https://www.scherman.org/reproductive-justice",,,Naiche Parker,,,Naiche Parker, Gisela Alvarez,,galvarez@scherman.org, INFO@SCHERMAN.ORG,,Foundation Not Applicable
stevenalexandracohenfoundation,Steven & Alexandra Cohen Foundation,Connecticut ,- Underserved Communities: Our passion is contributing to nonprofit organizations that make a direct impact on the lives of those in need. ,"Do not accept any unsolicited grant proposals, must check back periodically for RFP Process",https://www.steveandalex.org/,,,First outreach 11/8,,,"https://www.steveandalex.org/
https://www.steveandalex.org/",,,Alyssa DeFranco,,,Alyssa DeFranco, Biniyam Estifanos,,alyssa.defranco@steveandalex.org, biniyam.estifanos@steveandalex.org,,Foundation Not Applicable
theluciusnlittauerfoundation,The Lucius N. Littauer Foundation,New York ,"- The Lucius N. Littauer Foundation makes grants in the areas of education, social welfare, Jewish communal life and Judaica libraries and archives. ",,http://littauerfoundation.org/grants/,Rolling,,First outreach 11/8,,"Passed on scheduling a meeting time, ""We haven't been entering many new partnerships in NYC at present for a variety of reasons, in particular the decline in our endowment, something which you may have heard from other funders.  Further, in the education space, our focus for new partnerships has been on college success and completion rather than college access.""",http://littauerfoundation.org/grants/,"Passed on scheduling a meeting time, ""We haven't been entering many new partnerships in NYC at present for a variety of reasons, in particular the decline in our endowment, something which you may have heard from other funders.  Further, in the education space, our focus for new partnerships has been on college success and completion rather than college access.""",,Alan Divack,,,Alan Divack,,,adivack@littauerfoundation.org,,,Foundation Not Applicable
jezbbutlerfoundationinc,"J. E. & Z. B. BUTLER FOUNDATION, INC.
",New York,"- Funding supports comprehensive, long term after-school and summer programs for youth from under-resourced communities that enhance self-esteem, build competencies, encourage continued education and provide opportunities for youth to reach their potential. ",Rolling,Guidelines: LINK,,,First outreach 11/8,,,https://www.butlerfoundation.org/guidelines,,,Pat Goldman,,,Pat Goldman,,,pdg@butlerfoundation.org,,,Foundation Not Applicable
meringofffamilyfoundation,Meringoff Family Foundation,New York ,"- Primary philanthropic mission is to make hands-on investments in emerging non-profits deploying new approaches to level the playing field for young New Yorkers.                                                                                     - Support Education, Animal Welfare, & Youth with Disabilites",No open opportunities,https://www.meringofffoundation.org,,,First outreach 11/8,,,https://www.meringofffoundation.org/,,,Stuart Post: Executive Director,,,Stuart Post: Executive Director,,,spost@meringofffoundation.org,,,Foundation Not Applicable
unitedwayofnyc,"United Way of NYC
",New York,"- Community Fund Application: This fund provided resources and financial assistance to partner agencies and community-based organizations that work with our most-underserved communities, and focused on meeting the immediate needs of New Yorkers through relief efforts, while working to build self-sufficiency for families and strengthen the nonprofit sector. ",,"There is the Community Fund Application that allows all non-profits to apply to the COVID-19 Community Fund. They will be reviewing requests on a rolling basis, until all funds are distributed.  If approved for funding, applicants will be notified by email. 
https://forms.microsoft.com/Pages/ResponsePage.aspx?id=NKyZkKfGHkeGcioffuK6Y8bZOdL7b0xPi3IyB0VJ6etUMlU0QUU3VzNWWVgySFZWSk1HODFYSDFDVC4u ",,,First outreach 11/8,,,https://forms.microsoft.com/Pages/ResponsePage.aspx?id=NKyZkKfGHkeGcioffuK6Y8bZOdL7b0xPi3IyB0VJ6etUMlU0QUU3VzNWWVgySFZWSk1HODFYSDFDVC4u,,,Megan Brown - Chief Advancement Officer,,,Megan Brown - Chief Advancement Officer,,,mebrown@uwnyc.org, contactus@uwnyc.org,,Foundation Not Applicable
opensocietyfoundations,Open Society Foundations,New York,"- The Open Society Foundations award grants, scholarships, and fellowships throughout the year to organizations and individuals who share Open Society values. ","Have different grant opportunities that open on a regular basis, each opportunity having different requirements; nothing open that we qualify for currently",https://www.opensocietyfoundations.org/grants ,,,First outreach 11/8,,,https://www.opensocietyfoundations.org/grants,,,Elizabeth G.,,,Elizabeth G., Senior Program Officer LinkedIn,,jackie.fishman@opensocietyfoundations.org,,,Foundation Not Applicable
ajafoundation,AJA Foundation,Anywhere in the World ,"- Our education grantmaking focuses on helping students who have generally excelled in school but lack the finances, curriculum or support to reach their full potential. ","Our grantmaking cycle is closed for 2023. Please check back in 2024!

",https://www.ajafoundation.org/what-we-fund/,,,,,,https://www.ajafoundation.org/what-we-fund/,,,Colleen McKenna,,,Colleen McKenna, Executive Director,,,,,Foundation Not Applicable
cherylsabanselfworthfoundationforwomengirls,Cheryl Saban Self Worth Foundation for Women & Girls,California ,- Giving primarily to organizations that work towards the empowerment and advancement of women.,Not currently accepting applications ,Grant applications should be sent by email to: selfworth@saban.com with the words: New Grant Proposal in the subject line of the email,,,First outreach 11/8,,Amanda Rosenberg: (310) 557-5152,,Amanda Rosenberg: (310) 557-5152,,"Jesse Bronner
Amanda Rosenberg",,,"Jesse Bronner
Amanda Rosenberg",,,jbronner@saban.com,,,Foundation Not Applicable
openmeadowfoundation,Open Meadow Foundation,New York,"- We are looking for projects focused on activism, political change, and empowerment directed by, and benefiting women and girls. ",Currently NOT accepting ,https://sites.google.com/site/openmeadowsfoundation/Appllication ,,,First outreach 11/8,,Response ,https://sites.google.com/site/openmeadowsfoundation/Appllication,Response ,,Joy Messinger,,,Joy Messinger,,,joy@thirdwavefund.org, openmeadowsfdn@gmail.com,,Foundation Not Applicable
prospecthillfoundation,Prospect Hill Foundation,New York,"- We seek to fund organizations that recognize the root causes of race, gender, and economic oppression, and that are mobilizing and engaging communities in healing, building collective power, and advocating for systemic change. ","Currenlty evaluating their pilot year, but we can reach out to see if they have upcoming opportunitites",,,,First outreach 11/8,,,,,,Zanny Love,,, Zanny Love, Penny Willgerodt,,grants@prospect-hill.org,,,Foundation Not Applicable
theleonamandharrybhemsleycharitabletrust,The Leona M and Harry B.  Hemsley Charitable Trust,New York,"- To improve health stability for New York City’s populations with the greatest needs.                                                                             - We support efforts that improve healthcare delivery and access for high-needs patients, acknowledging root causes such as homelessness, adverse childhood experiences, the impacts of health and racial inequity, and intergenerational poverty.",No current opportunities ,,,,First outreach 11/8,,,,,,Tracy Perrizo,,,Tracy Perrizo,,,tperrizo@helmsleytrust.org,,,Foundation Not Applicable
hispanicheritagefoundation,Hispanic Heritage Foundation,Louissiana ,"- Identifying, inspiring, promoting and preparing Latino role models through national leadership, cultural, educational and workforce programs.
",Closed as of 10/25,Application for High school student scholarship: Website,,,First outreach 11/8,,,https://hhfawards.hispanicheritage.org/2020/forms/welcome.php,,,"Brenda Camarillo
Camila Zamorano",,,"Brenda Camarillo
Camila Zamorano",,,Brenda@hispanicheritage.org, camila@hispanicheritage.org,,Foundation Not Applicable
thepershingsquarefoundation,The Pershing Square Foundation,New York,"- Supports a range of non-profit and for profit organizations committed to social change across areas of education, economic opportunity and development, health and life sciences, and urban development.",No current opportunties,,,,First outreach 11/8,,,,,,Christy Barrow Program Manager,,,Christy Barrow Program Manager,,,cbarrow@persq.org,,,Foundation Not Applicable
allstatefoundationracialequitygrant,Allstate Foundation Racial Equity Grant ,Illinois ,"- Works to make an impact in empowering youth to succeed and lead, disrupting the cycle and prevalence of relationship abuse, and closing the racial opportunity gap for careers with thriving wages – all to help create a more equitable world where people and communities can thrive.","Pre Applications Open: 
April 13, 2024
Full proposal:
Invite Only                                   Pre-Proposal Due: May 12, 2024
",https://www.cybergrants.com/pls/cybergrants/ao_survey.form?x_gm_id=6310&x_section_id=1820736&x_quiz_survey_id=92428,,,First outreach 10/18,,Weekly Outreach ,https://www.cybergrants.com/pls/cybergrants/ao_survey.form?x_gm_id=6310&x_section_id=1820736&x_quiz_survey_id=92428,Weekly Outreach ,,Inez Birbiglia,,,Inez Birbiglia, Stephanie Demchik Pascuel,,ibirb@allstate.com, sdemb@allstate.com,,Foundation Not Applicable
hesedfoundation,Hesed Foundation,,"The Hesed Foundation is dedicated to the improvement and enhancement of human life and the strengthening of communities. Hesed seeks to achieve these goals by supporting programs that enhance the lives and welfare of all people, particularly those in underrepresented populations and communities. Specifically we fund programs relating to youth and education, health, and community building. In addition we reserve a percentage of our annual giving for discretionary projects of interest to the board.",http://www.hesedfoundation.org/?page_id=15,September 30th,,,,,Have funded in NYC in the past,http://www.hesedfoundation.org/?page_id=15,Have funded in NYC in the past,,,,,,,,grants@hesedfoundation.org,,,Foundation Not Applicable
