External ID,Name,Location,Area of interest,Account Information,Documentation and Requirements,Grant Amount,Due Date,EIN,Application Status,Outreach,Research_Links__c,Internal_Notes__c,Relationship,Contact 1 NameRaw,Contact 2 NameRaw,Contact 3 NameRaw,Title1 NameRaw,Title2 NameRaw,Title3 NameRaw,Email1 NameRaw,Email2 NameRaw,Email3 NameRaw,Source_Sheet__c
mothercabrinihealthfoundation,Mother Cabrini Health Foundation,New York State ,"Improving health and well-being of vulnerable New Yorkers, enhancing equitable access to healthcare, supporting basic needs, strengthening the healthcare workforce, advancing mental and behavioral health, and funding projects that improve health outcomes for underserved populations across New York State.",Mother Cabrini Health Portal,"Must be a domestic 501(c)(3) public charity or exempt operating foundation in good standing with the IRS and NYS.
Must primarily serve New York State residents and benefit poor, disadvantaged, or underserved communities.
Applicant organizations should generally have an annual operating budget of at least $750,000 (per typical guidelines).
Projects must align with the Foundation’s mission and meet one of the focus areas and demonstrate capacity to effectively carry out proposed programming.
Non-Catholic organizations are eligible; Catholic ethical principles guide funding but affiliation is not required.","$75,000+",4/23/2026,83-0590263,Submitted 4/23/2026,,https://cabrinihealth.smartsimple.us/s_Login.jsp,,Prospect,,,,,,,grantsupport@cabrinihealth.org,,,Foundation Potential (Deadlines)
brooklynorg,Brooklyn Org,New York City and Hudson Valley,"Youth, education, mental health, girls of color",Brooklyn Org Portal,"- Be incorporated as a 501(c)3 nonprofit organization or be working under the auspices of an authorized fiscal sponsor

- Have a minimum annual budget of $100,000. Grant awards will not exceed 20% of the applying organization’s annual budget

- Have a regular physical presence in Brooklyn. All non-Brooklyn-based organizations must apply for support for their relevant Brooklyn-based work",,"

September 30th",11-3422729,Submitted 4/23/2026,,https://www.grantinterface.com/Home/Logon?urlkey=brooklyncf,,Prospect,,,,,,,programs@brooklyn.org,,,Foundation Potential (Deadlines)
nbcuniverallocalimpactgrant,NBCUniveral Local Impact Grant,All cities in NBC/Telemundo markets,"Youth education/empowerment, next generation storytellers, amd community engagement",NBCUniversal Portal,"- Must be an active 501(c)(3) nonprofit (EIN active for at least one year) or a fiscally sponsored organization (apply through fiscal sponsor)
- Must have been in operation for at least one year
- Revenue must exceed $100,000; total expenses must be between $100,000 and $1,000,000
- Grant request cannot exceed 30% of total expenses
- Must align with one of three focus areas: Youth Education and Empowerment, Next Generation Storytellers, or Community Engagement
- Ineligible if the organization received $10,000+ annually from Comcast NBCUniversal, NBC/Telemundo-owned stations, or related entities in any of the past three years
Only one application allowed per Tax ID across all marke",No more than 30% of reported expenses,"April 24, 2026",51-0390132,Submitted 4/24/2026,,https://bbgm-apply.yourcausegrants.com/apply/application/2333439/forms/13536,,Prospect,,,,,,,,,,Foundation Potential (Deadlines)
lawrencefoundation,Lawrence Foundation,United States,"Environmental protection and conservation, human services including disaster relief, and other causes aligned with improving societal and ecological well-being.",Lawrence Application,"Be tax-exempt under Section 501(c)(3) of the Internal Revenue Service Code or have a fiscal sponsor that has 501(c)(3) status and provides written authorization confirming its willingness to act as the fiscal sponsor.

Engage in work that aligns with the Foundation’s funding interests and priorities.
","$5,000 - $10,000",April 30; October 31.,,Submitted 4/30/2026,,https://www.commongrantapplication.com/login.php?new=1,,Prospect,Lori Mitchell,,,Executive Director,,,lori@thelawrencefoundation.org,,,Foundation Potential (Deadlines)
acquisfoundation,Acquis Foundation,New York City,"Education, workforce training, and DOI",RFP,"Applicants must be registered 501(c)(3) nonprofit organizations.

Must be an established organization with a new idea, or an organization with existing infrastructure (not a grass roots organization).

Alignment with Acquis Foundation’s mission and values.

Organizations do not need to be headquartered in NYC, but their work must impact New York area communities.

Applicants must consent to being featured on the Acquis Foundation’s website, social media channels, and other publicly accessible platforms.","$25,000",April 30,87-1501756,Submitted 4/30/2026,,https://www.acquisconsulting.com/landing/foundation-rfp/,,Prospect,,,,,,,,,,Foundation Potential (Deadlines)
theslomocindysiivianfoundation,The Slomo & Cindy Siivian Foundation,"New York, New Jersey, and North Carolina","The Foundation makes grants to organizations that operate in one or more of the following subject areas: Education, Children’s Welfare, Medical Care, Medical Research, and Jewish Philanthropic Endeavors.",Portal,"501(c)(3) status with a public charity classification under IRC 509(a)(1) or 509(a)(2).Direct US IRS registration if operating as a foreign organization, as fiscal sponsors are not allowed.

Core alignment with education, children's welfare, medical care, medical research, or Jewish philanthropy.

Geographic presence located in or serving New York, New Jersey, or North Carolina.

IRS Form 990 or 990EZ successfully filed with the IRS within the past two calendar years.

Combined financial statement containing both a Balance Sheet and Income/Expense Statement if no 990 is available.English language and US dollar formatting on all uploaded alternative financial documents.

Single-document upload format for any alternative financial statements submitted to the portal.","$20,000",6/1/2026,34-2037021,Submitted 5/15,,,theslomocindysiivianfoundation,Foundation,,Komansky David,Grossman,President and Chairman of the Board of Directors; Treasurer and Board Member,President and Chairman of the Board of Directors,,dkomansky@silvianfoundation.org,dkomansky@silvianfoundation.org,,Foundation Potential (Deadlines)
newprofit,New Profit,United States,"Supports education, economic mobility, and democracy",Discovery Form,"Legal: 501(c)(3) or U.S.-based fiscal sponsor.

Geography: Must serve & operate in the United States.

Stage: 2+ years in operation; $250k–$2M annual budget (Catalyze) or $2M+ (Build).

Leadership: Full-time CEO/ED; preference for “Proximate Leaders” (lived experience).","$110,000 (100k for organization; 10k for leadership development)",May 26,04-3396766,Submitted 5/22/2026,,https://newprofit.tfaforms.net/18,,Prospect,Danielle May,,,Director of Planning, Grants Management,,danielle_may@newprofit.org,,,Foundation Potential (Deadlines)
arborrising,Arbor Rising,United States,"Education, workforce development, youth development, economic mobility, poverty alleviation, capacity building.",Arbor LOI,"- Have 501(c)(3) status or be fiscally sponsored by a 501(c)(3) organization
- Be based in and operate within the lower 48 states
- Have operated as an organization for at least 2 years, but no more than 15 years
- Have at least four full-time, paid staff members
- Have an annual operating budget of more than $500,000 and less than $3,000,000

Exceptions are made for:
- Organizations less than five years old with budgets exceeding $3,000,000; and
- Schools and school networks with overall budgets up to $30,000,000 that are launching or growing programs which advance student outcomes","$125,000",June 9,27-4205023,In Progress,"- Email sent 5/21
- Response: Thank you for reaching out. I'm pleased to virtually meet you. Arbor Rising is now accepting applications for the 2026-27 grant year.",https://form.jotform.com/260775231374155,"- Email sent 5/21
- Response: ...",Prospect,Domique Contact,,,Senior Associate,,,dominique@arborrising.org,,,Foundation Potential (Deadlines)
resortworldgives,Resort World Gives,New York City,"Community & economic development, health & wellness, arts & culture, civic & public affairs, environment.",Resort World Portal,"Eligibility:

- Be a registered 501c3 or 501c6, or be fiscally sponsored by a 501c3 or 501c6","$50,000",November 1,27-3513153,In Progress,,https://resortsworld.submittable.com/submit/338069/funding-request-2026,,,,,,Community Development Leader,,,michelle.stoddart@rwnewyork.com,,,Foundation Potential (Deadlines)
,Irma L. and Abram S. Croll Charitable Trust (Wells Fargo),New York City,"Supports arts, culture, and humanities, education, and health initiatives.",Irma and Abram Application,Eligible applicants must be exempt 501(c)(3) nonprofit organizations under the U.S. Internal Revenue Code.," $25,000 to $200,000",June 1,13-7312974,,,,,,,,,,,,grantadministration@wellsfargo.com,,,Foundation Potential (Deadlines)
,Charles H. Stout Foundation,United States,"Grants of the Foundation are made to organizations operated exclusively for charitable, scientific, literary, educational or religious purposes or for the prevention of child abuse and cruelty to animals.",Portal,"- Must be a federally recognized 501(c)(3) nonprofit

- Must support charitable, educational, scientific, literary, religious, child abuse prevention, or animal welfare purposes","$25,000",June 15,94-2797249,,,,,,,,,President,,,richardmstout@earthlink.net,,,Foundation Potential (Deadlines)
,Concious Kids (Wells Fargo),New York and New Jersey,"educational support, cultural enrichment (arts and humanities), human services, and general life enhancement for at-risk children and young adults.",Concious Kids Application,"To be eligible, organizations must qualify as exempt organizations under Section 501(c)(3) of the Internal Revenue Code.","$10,000 to $20,000",June 15,26-2895352,,,,,,,,,Founder, Director,,Brooke@Consciouskids.net,,,Foundation Potential (Deadlines)
,Ira W. DeCamp Foundation,New York City metropolitan area,"supports community-based health care for medically underserved populations, foster care programs that strengthen systems and support caregivers and older youth, and workforce development initiatives focused on job training, life skills, placement, and retention support.",Ira W. DeCamp Portal,"Eligibility

Must be a 501(c)(3) public charity recognized by the IRS.","$25,000 up to at least $100,000+",July 15th,51-0138577,,,,,,,,,,,,"DeCamp_Community_Health@jpmorgan.com
DeCamp_Workforce_Development@jpmorgan.com",,,Foundation Potential (Deadlines)
,The Patrina Foundation,New York City greater metropolitan area,"Funding educational, cultural, athletic, social service, job skills, life skills, leadership, and enrichment programs that improve the lives of girls and women and strengthen community impact.",Patrina Application,"See application documentation here

Must be a tax-exempt nonprofit organization (501(c)(3)), non-private foundation.",Varies,June 30,11-3035018,,,,,,,,,,,,peggyking@patrinafoundation.org,,,Foundation Potential (Deadlines)
