Account1 External ID,Name,Location,Area of interest ,Account Information ,Documentation and Requirements ,Grant Amount,Due Date,EIN,Application Status,Outreach,Notes,Relationship
mothercabrinihealthfoundation,Mother Cabrini Health Foundation,New York State,"Improving health and well-being of vulnerable New Yorkers, enhancing equitable access to healthcare, supporting basic needs, strengthening the healthcare workforce, advancing mental and behavioral health",Mother Cabrini Health Portal,"- Must be a domestic 501(c)(3) public charity or exempt operating foundation
- Must primarily serve New York State residents and benefit poor, disadvantaged, or underserved communities",$75000+,2026 TBD,83-0590263,Submitted 4/23/2026,,Funder,Funder
brooklynorg,Brooklyn Org,"New York City and Hudson Valley","Youth, education, mental health, girls of color",Brooklyn Org Portal,"- Be incorporated as a 501(c)3 nonprofit organization or be working under the auspices of an authorized fiscal sponsor
- Have a minimum annual budget of $100,000",,September 30th,11-3422729,Submitted 4/23/2026,,Funder,Funder
nbcuniverallocalimpactgrant,NBCUniveral Local Impact Grant,All cities in NBC/Telemundo markets,"Youth education/empowerment, next generation storytellers, and community engagement",NBCUniversal Portal,"- Must be an active 501(c)(3) nonprofit
- Must have been in operation for at least one year
- Revenue must exceed $100,000",No more than 30% of reported expenses,April 24 2026,51-0390132,Submitted 4/24/2026,,Funder,Funder
lawrencefoundation,Lawrence Foundation,United States,"Environmental protection and conservation, human services including disaster relief, and other causes aligned with improving societal and ecological well-being.",Lawrence Application,"Be tax-exempt under Section 501(c)(3) or have a fiscal sponsor with 501(c)(3) status.",$5000 - $10000,April 30 October 31,  ,Submitted 4/30/2026,,Funder,Funder
acquisfoundation,Acquis Foundation,New York City,"Education, workforce training, and DOI",RFP,Applicants must be registered 501(c)(3) nonprofit organizations.,$46142,June 11,87-1501756,Submitted 4/30/2026,,Funder,Funder
theslomocindysiivianfoundation,The Slomo & Cindy Siivian Foundation,"New York, New Jersey, and North Carolina","The Foundation makes grants to organizations in: Education, Children's Welfare, Medical Care, Medical Research, and Jewish Philanthropic Endeavors.",Portal,"501(c)(3) status with a public charity classification.
Direct US IRS registration required.
Core alignment with education, children's welfare, medical care, medical research, or Jewish philanthropy.",$20000,6/1/2026,34-2037021,Submitted 5/15,,Expect to hear back with decision July 7 2026,Funder
newprofit,New Profit,United States,"Supports education, economic mobility, and democracy",Discovery Form,"Legal: 501(c)(3) or U.S.-based fiscal sponsor.
Geography: Must serve & operate in the United States.
Stage: 2+ years in operation",$110000,May 26,04-3396766,Submitted 5/22/2026,,Funder,Funder
tigerfoundation,Tiger Foundation,Five boroughs of New York City,"Youth organizing, education equity, mental health",Tiger Foundation Portal,"- Strong and consistent measurable outcomes over time
- Skilled executive program and board leadership
- Cost-effectiveness",$50000 - $300000,Rolling,13-3532729,Submitted 5/26/2026,,Funder,Funder
sillsfamilyfoundation,Sills Family Foundation,metro New York City and California,"Early childhood education, environmental justice, arts and culture, families in crisis, criminal justice-impacted communities, refugees and migrants",No Application Posted,"Must be a qualified 501(c)(3) nonprofit or equivalent.
Work must align with the foundation's funding priorities.",$10000 to $25000,N/A,52-1790278,LOI Submitted,,LOI Submitted 4/21,Pending Funder
robinhoodfoundation,Robin Hood Foundation,New York City (five boroughs only),"Poverty, youth development, education, mental health",Robinhood Grant Application,"Organizations must:
- Serve populations and operate within the five boroughs
- Not currently be receiving support from Robinhood",$100000 - $1600000,Open year-round,13-3441066,Submitted 4/10/2026,,Funder,Funder
kars4kids,Kars4Kids,United States,Supporting educational initiatives youth development mentorship and community programs for children and young people,Kars4Kids Application,Applicant must be a U.S.-based IRS-recognized 501(c)(3) nonprofit organization.,$500 to $2000,Open year-round,22-3746050,Submitted  ,,Rolling,Funder
firsthorizonfoundation,First Horizon Foundation ,New York City,"Community well-being, financial education, economic opportunity, workforce development, education and leadership development, arts and culture, environmental sustainability.",First Horizon Application,"- Tax info (ID/EIN, Form 990, 501(c)3 letter)
- Basic info about organization (Name, type, mission statement)",$5000 to $25000,Rolling ,62-1533987,In Progress,,Rolling,Funder
ichigofoundation,Ichigo Foundation,New York City and California,"College access, educational equity, first-generation student success, career readiness, economic mobility, youth development.",Ichigo LOI,"- U.S.-based 501(c)(3) nonprofits
- Focused on college access and postsecondary success",$25000-$250000,Rolling,83-3528175,In Progress,,,Funder
arborrising,Arbor Rising,United States,"Education, workforce development, youth development, economic mobility, poverty alleviation, capacity building.",Arbor LOI,"- Have 501(c)(3) status or be fiscally sponsored
- Have operated as an organization for at least 2 years but no more than 15 years
- Have at least four full-time paid staff members",$125000,June 9,27-4205023,In Progress,,"- Email sent 5/21
- Response: Thank you for reaching out. Arbor Rising is now accepting applications for the 2026-27 grant year.",Funder
resortworldgives,Resort World Gives,New York City,"Community & economic development, health & wellness, arts & culture, civic & public affairs, environment.",Resort World Portal,"- Be a registered 501c3 or 501c6 or be fiscally sponsored
- Provides services within one or more of Resorts World Gives' key pillars",$50000,November 1,27-3513153,In Progress,,,Funder
foresthillsstadiumcommunityfund,Forest Hills Stadium Community Fund,Forest Hills and the greater Queens area,"Education, health, culture, neighborhood beautification, and economic development",Forest Hills Application,-Be a registered 501(c)(3) or a local school,"Tier 1: up to $5000, Tier 2: $5000 - $10000, Tier 3: $10000 - $15000",Rolling,26-4164715,In Progress,,,Funder
ccnsf,CCNSF,New York City ,"Education, immigrant communities, workforce development, low-income families, youth empowerment, community services",Portal,"- Must be registered in PASSPort.
- Must have 501(c)(3) status and at least two years as an incorporated nonprofit.",$45000,October 17th,11-2675971,,Sent Email,,Prospect
mtcharitablefund,M&T Charitable Fund,New York ,"Community development, affordable housing, education, small business support, financial literacy, neighborhood revitalization",Portal,"- Organization must be a recognized 501(c)(3) public charity.
- Must operate or serve individuals within cities/towns where M&T Bank conducts business.",Varies,October 31st,16-1448017,,NG 9/29,Prospect
bancopopularfoundation,Banco Popular Foundation,"Puerto Rico, U.S Virgin Islands, and United States ","Education, economic development, Puerto Rican/Latino communities, arts & culture, youth programs, community empowerment",Portal,"- Registered nonprofit, tax-exempt 501(c)(3) charitable organization.
- Must provide meaningful volunteer opportunities for Popular employees.",$10000,August 31st 2025,47-4997597,,Submitted 8/31,Funder
